Small Group RCV Tabulation - Demo - results for rcvis - manual

Leader
****************

Round 1
Candidate,Votes,Percentage
Candidate J,2,33.33%
Candidate K,1,16.67%
Candidate L,1,16.67%
Candidate M,1,16.67%
Candidate N,1,16.67%
Candidate O,0,0%
Candidate P,0,0%

Votes tallied: 6
Abstentions: 0

Round 2
Candidate,Votes,Percentage
Candidate J,3,50.00%
Candidate K,1,16.67%
Candidate L,1,16.67%
Candidate M,1,16.67%

Votes tallied: 6
Abstentions: 0

Round 3
Candidate,Votes,Percentage
Candidate J,3,50.00%
Candidate K,1,16.67%
Candidate L,2,33.33%

Votes tallied: 6
Abstentions: 0

Round 4
Candidate,Votes,Percentage
Candidate J,3,50.00%
Candidate L,3,50.00%

Votes tallied: 6
Abstentions: 0

Round 5
Candidate,Votes,Percentage
Candidate J,6,100.00%

Votes tallied: 6
Abstentions: 0
